Provincia,Población,Latitud,Longitud,ID_latitud_longitud
A coruna,246047,43.37012643,-8.39114853,0
Albacete,170475,38.99588053,-1.85574745,1
Alicante,334418,38.34548705,-0.4831832,2
Almeria,190013,36.83892362,-2.46413188,3
Avila,58245,40.65586958,-4.69771277,4
Badajoz,150376,38.87874339,-6.97099704,5
Barcelona,1619337,41.38424664,2.17634927,6
Vizcaya,353187,43.25721957,-2.92390606,7
Burgos,178574,42.34113004,-3.70419805,8
Caceres,94179,39.47316762,-6.37121092,9
Cadiz,125826,36.52171152,-6.28414575,10
Castellon,180690,39.98640809,-0.03688142,11
Ciudad real,74345,38.98651781,-3.93131981,12
Cordoba,328547,37.87954225,-4.78032455,13
Cuenca,56189,40.07653762,-2.13152306,14
Girona,96236,41.98186075,2.82411899,15
Granada,239154,37.17641932,-3.60001883,16
Guadalajara,83789,40.63435548,-3.16210273,17
Huelva,149310,37.26004113,-6.95040588,18
Huesca,52347,42.14062739,-0.40842276,19
Jaen,116790,37.7651913,-3.7903594,20
Las palmas de gran canaria,383308,28.099378545,-15.413368411,21
Leon,134012,42.59912097,-5.56707631,22
Lleida,137387,41.61527355,0.62061934,23
La rioja,152650,42.46644945,-2.44565538,24
Lugo,97635,43.0091282,-7.55817392,25
Madrid,3273049,40.40841191,-3.68760088,26
Malaga,568507,36.72034267,-4.41997511,27
Murcia,441345,37.98436361,-1.1285408,28
Ourense,108673,42.33654919,-7.86368375,29
Asturias,225155,43.36232165,-5.84372206,30
Palencia,82169,42.0078373,-4.53460106,31
Islas baleares,404681,39.57114699,2.65181698,32
Navarra,197488,42.814102,-1.6451528,33
Pontevedra,81981,42.43381442,-8.64799018,34
Salamanca,154462,40.96736822,-5.66538084,35
Gipuzkoa,185506,43.31717158,-1.98191785,36
Sta. cruz de tenerife,222643,28.462854082,-16.247206286,37
Cantabria,181589,43.46297885,-3.80474784,38
Segovia,55748,40.9498703,-4.12524116,39
Sevilla,704198,37.38620512,-5.99251368,40
Soria,39838,41.76327912,-2.46624798,41
Tarragona,140184,41.11910287,1.2584219,42
Teruel,35241,40.34412951,-1.10927177,43
Toledo,82489,39.85715187,-4.02431421,44
Valencia,809267,39.47534441,-0.37565717,45
Valladolid,315522,41.65232777,-4.72334924,46
Araba/alava,238247,42.85058789,-2.67275685,47
Zamora,65998,41.49913956,-5.75494831,48
Zaragoza,675121,41.65645655,-0.87928652,49
