Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_pernoctaciones
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2023-09-30,669529,0
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2023-08-31,1034079,1
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2023-07-31,919171,2
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2023-06-30,617977,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2023-05-31,413236,4
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2023-04-30,288099,5
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2023-03-31,186809,6
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2023-02-28,140628,7
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2023-01-31,98037,8
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2023-09-30,474975,9
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2023-08-31,821399,10
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2023-07-31,726646,11
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2023-06-30,448495,12
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2023-05-31,278257,13
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2023-04-30,220064,14
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2023-03-31,129050,15
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2023-02-28,99001,16
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2023-01-31,63119,17
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2023-09-30,194554,18
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2023-08-31,212679,19
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2023-07-31,192525,20
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2023-06-30,169482,21
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2023-05-31,134978,22
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2023-04-30,68035,23
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2023-03-31,57759,24
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2023-02-28,41627,25
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2023-01-31,34918,26
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2023-09-30,996508,27
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2023-08-31,1359633,28
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2023-07-31,1212232,29
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2023-06-30,953827,30
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2023-05-31,752077,31
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2023-04-30,731380,32
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2023-03-31,361219,33
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2023-02-28,284529,34
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2023-01-31,187860,35
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2023-09-30,570064,36
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2023-08-31,1045995,37
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2023-07-31,898472,38
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2023-06-30,605887,39
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2023-05-31,396117,40
