Totales_Territoriales,Comunidades_Ciudades_Autonomas,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_viajeros,ID_pernoctaciones,ID_total
Total Nacional,Cantabria,Viajero,General,2023-09-01,11635208,0,0,0
Total Nacional,Cantabria,Viajero,General,2023-08-01,13196928,1,1,1
Total Nacional,Cantabria,Viajero,General,2023-07-01,12664627,2,2,2
Total Nacional,Cantabria,Viajero,General,2023-06-01,11507055,3,3,3
Total Nacional,Cantabria,Viajero,General,2023-05-01,10645074,4,4,4
Total Nacional,Cantabria,Viajero,General,2023-04-01,9841420,5,5,5
Total Nacional,Cantabria,Viajero,General,2023-03-01,7391097,6,6,6
Total Nacional,Cantabria,Viajero,General,2023-02-01,5955251,7,7,7
Total Nacional,Cantabria,Viajero,General,2023-01-01,5379219,8,8,8
Total Nacional,Cantabria,Viajero,Espana,2023-09-01,5132262,9,9,9
Total Nacional,Cantabria,Viajero,Espana,2023-08-01,6355329,10,10,10
Total Nacional,Cantabria,Viajero,Espana,2023-07-01,6031375,11,11,11
Total Nacional,Cantabria,Viajero,Espana,2023-06-01,5401641,12,12,12
Total Nacional,Cantabria,Viajero,Espana,2023-05-01,4563029,13,13,13
Total Nacional,Cantabria,Viajero,Espana,2023-04-01,4993279,14,14,14
Total Nacional,Cantabria,Viajero,Espana,2023-03-01,3996988,15,15,15
Total Nacional,Cantabria,Viajero,Espana,2023-02-01,3309857,16,16,16
Total Nacional,Cantabria,Viajero,Espana,2023-01-01,2969719,17,17,17
Total Nacional,Cantabria,Viajero,Extranjero,2023-09-01,6502946,18,18,18
Total Nacional,Cantabria,Viajero,Extranjero,2023-08-01,6841598,19,19,19
Total Nacional,Cantabria,Viajero,Extranjero,2023-07-01,6633252,20,20,20
Total Nacional,Cantabria,Viajero,Extranjero,2023-06-01,6105414,21,21,21
Total Nacional,Cantabria,Viajero,Extranjero,2023-05-01,6082045,22,22,22
Total Nacional,Cantabria,Viajero,Extranjero,2023-04-01,4848140,23,23,23
Total Nacional,Cantabria,Viajero,Extranjero,2023-03-01,3394109,24,24,24
Total Nacional,Cantabria,Viajero,Extranjero,2023-02-01,2645394,25,25,25
Total Nacional,Cantabria,Viajero,Extranjero,2023-01-01,2409500,26,26,26
Total Nacional,Cantabria,Pernoctaciones,General,2023-09-01,38085285,27,27,27
Total Nacional,Cantabria,Pernoctaciones,General,2023-08-01,46669159,28,28,28
Total Nacional,Cantabria,Pernoctaciones,General,2023-07-01,43156470,29,29,29
Total Nacional,Cantabria,Pernoctaciones,General,2023-06-01,36258333,30,30,30
Total Nacional,Cantabria,Pernoctaciones,General,2023-05-01,32407396,31,31,31
Total Nacional,Cantabria,Pernoctaciones,General,2023-04-01,28090961,32,32,32
Total Nacional,Cantabria,Pernoctaciones,General,2023-03-01,20648210,33,33,33
Total Nacional,Cantabria,Pernoctaciones,General,2023-02-01,16836535,34,34,34
Total Nacional,Cantabria,Pernoctaciones,General,2023-01-01,15518650,35,35,35
Total Nacional,Cantabria,Pernoctaciones,Espana,2023-09-01,11810259,36,36,36
Total Nacional,Cantabria,Pernoctaciones,Espana,2023-08-01,17527325,37,37,37
Total Nacional,Cantabria,Pernoctaciones,Espana,2023-07-01,15379389,38,38,38
Total Nacional,Cantabria,Pernoctaciones,Espana,2023-06-01,12074547,39,39,39
Total Nacional,Cantabria,Pernoctaciones,Espana,2023-05-01,9763958,40,40,40
Total Nacional,Cantabria,Pernoctaciones,Espana,2023-04-01,10772696,41,41,41
Total Nacional,Cantabria,Pernoctaciones,Espana,2023-03-01,8041791,42,42,42
Total Nacional,Cantabria,Pernoctaciones,Espana,2023-02-01,6449301,43,43,43
Total Nacional,Cantabria,Pernoctaciones,Espana,2023-01-01,5802156,44,44,44
Total Nacional,Cantabria,Pernoctaciones,Extranjero,2023-09-01,26275026,45,45,45
Total Nacional,Cantabria,Pernoctaciones,Extranjero,2023-08-01,29141834,46,46,46
Total Nacional,Cantabria,Pernoctaciones,Extranjero,2023-07-01,27777081,47,47,47
Total Nacional,Cantabria,Pernoctaciones,Extranjero,2023-06-01,24183787,48,48,48
Total Nacional,Cantabria,Pernoctaciones,Extranjero,2023-05-01,22643438,49,49,49
Total Nacional,Cantabria,Pernoctaciones,Extranjero,2023-04-01,17318265,50,50,50
Total Nacional,Cantabria,Pernoctaciones,Extranjero,2023-03-01,12606419,51,51,51
Total Nacional,Cantabria,Pernoctaciones,Extranjero,2023-02-01,10387234,52,52,52
Total Nacional,Cantabria,Pernoctaciones,Extranjero,2023-01-01,9716494,53,53,53
Total Nacional,Andalucia,Viajero,General,2023-09-01,2032826,54,54,54
Total Nacional,Andalucia,Viajero,General,2023-08-01,2258709,55,55,55
Total Nacional,Andalucia,Viajero,General,2023-07-01,2124450,56,56,56
Total Nacional,Andalucia,Viajero,General,2023-06-01,1933906,57,57,57
Total Nacional,Andalucia,Viajero,General,2023-05-01,1883472,58,58,58
Total Nacional,Andalucia,Viajero,General,2023-04-01,1845565,59,59,59
Total Nacional,Andalucia,Viajero,General,2023-03-01,1420409,60,60,60
Total Nacional,Andalucia,Viajero,General,2023-02-01,1121278,61,61,61
Total Nacional,Andalucia,Viajero,General,2023-01-01,967209,62,62,62
Total Nacional,Andalucia,Viajero,Espana,2023-09-01,1044697,63,63,63
Total Nacional,Andalucia,Viajero,Espana,2023-08-01,1339933,64,64,64
Total Nacional,Andalucia,Viajero,Espana,2023-07-01,1286939,65,65,65
Total Nacional,Andalucia,Viajero,Espana,2023-06-01,1093314,66,66,66
Total Nacional,Andalucia,Viajero,Espana,2023-05-01,924970,67,67,67
Total Nacional,Andalucia,Viajero,Espana,2023-04-01,977245,68,68,68
Total Nacional,Andalucia,Viajero,Espana,2023-03-01,812507,69,69,69
Total Nacional,Andalucia,Viajero,Espana,2023-02-01,693392,70,70,70
Total Nacional,Andalucia,Viajero,Espana,2023-01-01,576934,71,71,71
Total Nacional,Andalucia,Viajero,Extranjero,2023-09-01,988129,72,72,72
Total Nacional,Andalucia,Viajero,Extranjero,2023-08-01,918776,73,73,73
Total Nacional,Andalucia,Viajero,Extranjero,2023-07-01,837511,74,74,74
Total Nacional,Andalucia,Viajero,Extranjero,2023-06-01,840591,75,75,75
Total Nacional,Andalucia,Viajero,Extranjero,2023-05-01,958502,76,76,76
Total Nacional,Andalucia,Viajero,Extranjero,2023-04-01,868321,77,77,77
Total Nacional,Andalucia,Viajero,Extranjero,2023-03-01,607902,78,78,78
Total Nacional,Andalucia,Viajero,Extranjero,2023-02-01,427886,79,79,79
Total Nacional,Andalucia,Viajero,Extranjero,2023-01-01,390275,80,80,80
Total Nacional,Andalucia,Pernoctaciones,General,2023-09-01,6002929,81,81,81
Total Nacional,Andalucia,Pernoctaciones,General,2023-08-01,7410119,82,82,82
Total Nacional,Andalucia,Pernoctaciones,General,2023-07-01,6684443,83,83,83
Total Nacional,Andalucia,Pernoctaciones,General,2023-06-01,5583974,84,84,84
Total Nacional,Andalucia,Pernoctaciones,General,2023-05-01,5070812,85,85,85
Total Nacional,Andalucia,Pernoctaciones,General,2023-04-01,4788837,86,86,86
Total Nacional,Andalucia,Pernoctaciones,General,2023-03-01,3359313,87,87,87
Total Nacional,Andalucia,Pernoctaciones,General,2023-02-01,2558320,88,88,88
Total Nacional,Andalucia,Pernoctaciones,General,2023-01-01,2129016,89,89,89
Total Nacional,Andalucia,Pernoctaciones,Espana,2023-09-01,2588824,90,90,90
Total Nacional,Andalucia,Pernoctaciones,Espana,2023-08-01,4134216,91,91,91
Total Nacional,Andalucia,Pernoctaciones,Espana,2023-07-01,3657286,92,92,92
Total Nacional,Andalucia,Pernoctaciones,Espana,2023-06-01,2605778,93,93,93
Total Nacional,Andalucia,Pernoctaciones,Espana,2023-05-01,1987664,94,94,94
Total Nacional,Andalucia,Pernoctaciones,Espana,2023-04-01,2145264,95,95,95
Total Nacional,Andalucia,Pernoctaciones,Espana,2023-03-01,1591594,96,96,96
