Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total
Total Nacional,Andalucia,Almeria,Viajero,General,2023-09-01,178491
Total Nacional,Andalucia,Almeria,Viajero,General,2023-08-01,250334
Total Nacional,Andalucia,Almeria,Viajero,General,2023-07-01,232150
Total Nacional,Andalucia,Almeria,Viajero,General,2023-06-01,182873
Total Nacional,Andalucia,Almeria,Viajero,General,2023-05-01,122909
Total Nacional,Andalucia,Almeria,Viajero,General,2023-04-01,101620
Total Nacional,Andalucia,Almeria,Viajero,General,2023-03-01,65073
Total Nacional,Andalucia,Almeria,Viajero,General,2023-02-01,52895
Total Nacional,Andalucia,Almeria,Viajero,General,2023-01-01,42306
Total Nacional,Andalucia,Almeria,Viajero,Espana,2023-09-01,138686
Total Nacional,Andalucia,Almeria,Viajero,Espana,2023-08-01,205570
Total Nacional,Andalucia,Almeria,Viajero,Espana,2023-07-01,189057
Total Nacional,Andalucia,Almeria,Viajero,Espana,2023-06-01,147837
Total Nacional,Andalucia,Almeria,Viajero,Espana,2023-05-01,91498
Total Nacional,Andalucia,Almeria,Viajero,Espana,2023-04-01,81484
Total Nacional,Andalucia,Almeria,Viajero,Espana,2023-03-01,48986
Total Nacional,Andalucia,Almeria,Viajero,Espana,2023-02-01,41385
Total Nacional,Andalucia,Almeria,Viajero,Espana,2023-01-01,30456
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2023-09-01,39804
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2023-08-01,44764
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2023-07-01,43093
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2023-06-01,35036
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2023-05-01,31411
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2023-04-01,20136
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2023-03-01,16087
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2023-02-01,11510
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2023-01-01,11850
Total Nacional,Andalucia,Cadiz,Viajero,General,2023-09-01,311445
Total Nacional,Andalucia,Cadiz,Viajero,General,2023-08-01,399049
Total Nacional,Andalucia,Cadiz,Viajero,General,2023-07-01,387829
Total Nacional,Andalucia,Cadiz,Viajero,General,2023-06-01,325608
Total Nacional,Andalucia,Cadiz,Viajero,General,2023-05-01,282221
Total Nacional,Andalucia,Cadiz,Viajero,General,2023-04-01,292272
Total Nacional,Andalucia,Cadiz,Viajero,General,2023-03-01,156962
Total Nacional,Andalucia,Cadiz,Viajero,General,2023-02-01,130390
Total Nacional,Andalucia,Cadiz,Viajero,General,2023-01-01,90512
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2023-09-01,200986
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2023-08-01,302520
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2023-07-01,296432
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2023-06-01,233778
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2023-05-01,180368
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2023-04-01,192565
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2023-03-01,103030
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2023-02-01,91883
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2023-01-01,63977
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2023-09-01,110459
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2023-08-01,96529
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2023-07-01,91397
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2023-06-01,91830
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2023-05-01,101853
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2023-04-01,99707
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2023-03-01,53932
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2023-02-01,38507
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2023-01-01,26536
Total Nacional,Andalucia,Cordoba,Viajero,General,2023-09-01,105884
Total Nacional,Andalucia,Cordoba,Viajero,General,2023-08-01,84538
Total Nacional,Andalucia,Cordoba,Viajero,General,2023-07-01,77343
Total Nacional,Andalucia,Cordoba,Viajero,General,2023-06-01,90784
Total Nacional,Andalucia,Cordoba,Viajero,General,2023-05-01,110168
Total Nacional,Andalucia,Cordoba,Viajero,General,2023-04-01,109429
Total Nacional,Andalucia,Cordoba,Viajero,General,2023-03-01,91830
Total Nacional,Andalucia,Cordoba,Viajero,General,2023-02-01,77958
Total Nacional,Andalucia,Cordoba,Viajero,General,2023-01-01,69159
Total Nacional,Andalucia,Cordoba,Viajero,Espana,2023-09-01,58952
Total Nacional,Andalucia,Cordoba,Viajero,Espana,2023-08-01,46705
Total Nacional,Andalucia,Cordoba,Viajero,Espana,2023-07-01,46809
Total Nacional,Andalucia,Cordoba,Viajero,Espana,2023-06-01,53714
Total Nacional,Andalucia,Cordoba,Viajero,Espana,2023-05-01,61717
Total Nacional,Andalucia,Cordoba,Viajero,Espana,2023-04-01,65108
Total Nacional,Andalucia,Cordoba,Viajero,Espana,2023-03-01,60146
Total Nacional,Andalucia,Cordoba,Viajero,Espana,2023-02-01,54360
Total Nacional,Andalucia,Cordoba,Viajero,Espana,2023-01-01,49062
Total Nacional,Andalucia,Cordoba,Viajero,Extranjero,2023-09-01,46932
Total Nacional,Andalucia,Cordoba,Viajero,Extranjero,2023-08-01,37833
Total Nacional,Andalucia,Cordoba,Viajero,Extranjero,2023-07-01,30534
Total Nacional,Andalucia,Cordoba,Viajero,Extranjero,2023-06-01,37071
Total Nacional,Andalucia,Cordoba,Viajero,Extranjero,2023-05-01,48451
Total Nacional,Andalucia,Cordoba,Viajero,Extranjero,2023-04-01,44321
Total Nacional,Andalucia,Cordoba,Viajero,Extranjero,2023-03-01,31684
Total Nacional,Andalucia,Cordoba,Viajero,Extranjero,2023-02-01,23598
Total Nacional,Andalucia,Cordoba,Viajero,Extranjero,2023-01-01,20097
Total Nacional,Andalucia,Granada,Viajero,General,2023-09-01,262778
Total Nacional,Andalucia,Granada,Viajero,General,2023-08-01,255216
Total Nacional,Andalucia,Granada,Viajero,General,2023-07-01,227876
Total Nacional,Andalucia,Granada,Viajero,General,2023-06-01,228645
Total Nacional,Andalucia,Granada,Viajero,General,2023-05-01,232252
Total Nacional,Andalucia,Granada,Viajero,General,2023-04-01,252719
Total Nacional,Andalucia,Granada,Viajero,General,2023-03-01,227157
Total Nacional,Andalucia,Granada,Viajero,General,2023-02-01,198964
Total Nacional,Andalucia,Granada,Viajero,General,2023-01-01,189778
Total Nacional,Andalucia,Granada,Viajero,Espana,2023-09-01,144260
Total Nacional,Andalucia,Granada,Viajero,Espana,2023-08-01,158992
Total Nacional,Andalucia,Granada,Viajero,Espana,2023-07-01,134264
Total Nacional,Andalucia,Granada,Viajero,Espana,2023-06-01,127994
Total Nacional,Andalucia,Granada,Viajero,Espana,2023-05-01,113346
Total Nacional,Andalucia,Granada,Viajero,Espana,2023-04-01,142344
Total Nacional,Andalucia,Granada,Viajero,Espana,2023-03-01,145045
Total Nacional,Andalucia,Granada,Viajero,Espana,2023-02-01,136124
Total Nacional,Andalucia,Granada,Viajero,Espana,2023-01-01,128885
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2023-09-01,118518
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2023-08-01,96223
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2023-07-01,93611
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2023-06-01,100652
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2023-05-01,118906
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2023-04-01,110374
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2023-03-01,82112
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2023-02-01,62840
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2023-01-01,60892
Total Nacional,Andalucia,Huelva,Viajero,General,2023-09-01,144469
Total Nacional,Andalucia,Huelva,Viajero,General,2023-08-01,176951
Total Nacional,Andalucia,Huelva,Viajero,General,2023-07-01,164747
Total Nacional,Andalucia,Huelva,Viajero,General,2023-06-01,147976
Total Nacional,Andalucia,Huelva,Viajero,General,2023-05-01,119501
Total Nacional,Andalucia,Huelva,Viajero,General,2023-04-01,101834
