Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2023-09-01,669529
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2023-08-01,1034079
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2023-07-01,919171
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2023-06-01,617977
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2023-05-01,413236
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2023-04-01,288099
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2023-03-01,186809
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2023-02-01,140628
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2023-01-01,98037
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2023-09-01,474975
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2023-08-01,821399
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2023-07-01,726646
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2023-06-01,448495
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2023-05-01,278257
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2023-04-01,220064
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2023-03-01,129050
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2023-02-01,99001
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2023-01-01,63119
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2023-09-01,194554
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2023-08-01,212679
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2023-07-01,192525
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2023-06-01,169482
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2023-05-01,134978
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2023-04-01,68035
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2023-03-01,57759
