Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total
Total Nacional,Cantabria,-,Viajero,General,2023-09-01,11635208
Total Nacional,Cantabria,-,Viajero,General,2023-08-01,13196928
Total Nacional,Cantabria,-,Viajero,General,2023-07-01,12664627
Total Nacional,Cantabria,-,Viajero,General,2023-06-01,11507055
Total Nacional,Cantabria,-,Viajero,General,2023-05-01,10645074
Total Nacional,Cantabria,-,Viajero,General,2023-04-01,9841420
Total Nacional,Cantabria,-,Viajero,General,2023-03-01,7391097
Total Nacional,Cantabria,-,Viajero,General,2023-02-01,5955251
Total Nacional,Cantabria,-,Viajero,General,2023-01-01,5379219
Total Nacional,Cantabria,-,Viajero,Espana,2023-09-01,5132262
Total Nacional,Cantabria,-,Viajero,Espana,2023-08-01,6355329
Total Nacional,Cantabria,-,Viajero,Espana,2023-07-01,6031375
Total Nacional,Cantabria,-,Viajero,Espana,2023-06-01,5401641
Total Nacional,Cantabria,-,Viajero,Espana,2023-05-01,4563029
Total Nacional,Cantabria,-,Viajero,Espana,2023-04-01,4993279
Total Nacional,Cantabria,-,Viajero,Espana,2023-03-01,3996988
Total Nacional,Cantabria,-,Viajero,Espana,2023-02-01,3309857
Total Nacional,Cantabria,-,Viajero,Espana,2023-01-01,2969719
Total Nacional,Cantabria,-,Viajero,Extranjero,2023-09-01,6502946
Total Nacional,Cantabria,-,Viajero,Extranjero,2023-08-01,6841598
Total Nacional,Cantabria,-,Viajero,Extranjero,2023-07-01,6633252
Total Nacional,Cantabria,-,Viajero,Extranjero,2023-06-01,6105414
Total Nacional,Cantabria,-,Viajero,Extranjero,2023-05-01,6082045
Total Nacional,Cantabria,-,Viajero,Extranjero,2023-04-01,4848140
Total Nacional,Cantabria,-,Viajero,Extranjero,2023-03-01,3394109
Total Nacional,Cantabria,-,Viajero,Extranjero,2023-02-01,2645394
Total Nacional,Cantabria,-,Viajero,Extranjero,2023-01-01,2409500
Total Nacional,Cantabria,-,Pernoctaciones,General,2023-09-01,38085285
Total Nacional,Cantabria,-,Pernoctaciones,General,2023-08-01,46669159
Total Nacional,Cantabria,-,Pernoctaciones,General,2023-07-01,43156470
Total Nacional,Cantabria,-,Pernoctaciones,General,2023-06-01,36258333
Total Nacional,Cantabria,-,Pernoctaciones,General,2023-05-01,32407396
Total Nacional,Cantabria,-,Pernoctaciones,General,2023-04-01,28090961
Total Nacional,Cantabria,-,Pernoctaciones,General,2023-03-01,20648210
Total Nacional,Cantabria,-,Pernoctaciones,General,2023-02-01,16836535
Total Nacional,Cantabria,-,Pernoctaciones,General,2023-01-01,15518650
Total Nacional,Cantabria,-,Pernoctaciones,Espana,2023-09-01,11810259
Total Nacional,Cantabria,-,Pernoctaciones,Espana,2023-08-01,17527325
Total Nacional,Cantabria,-,Pernoctaciones,Espana,2023-07-01,15379389
Total Nacional,Cantabria,-,Pernoctaciones,Espana,2023-06-01,12074547
Total Nacional,Cantabria,-,Pernoctaciones,Espana,2023-05-01,9763958
Total Nacional,Cantabria,-,Pernoctaciones,Espana,2023-04-01,10772696
Total Nacional,Cantabria,-,Pernoctaciones,Espana,2023-03-01,8041791
Total Nacional,Cantabria,-,Pernoctaciones,Espana,2023-02-01,6449301
Total Nacional,Cantabria,-,Pernoctaciones,Espana,2023-01-01,5802156
Total Nacional,Cantabria,-,Pernoctaciones,Extranjero,2023-09-01,26275026
Total Nacional,Cantabria,-,Pernoctaciones,Extranjero,2023-08-01,29141834
Total Nacional,Cantabria,-,Pernoctaciones,Extranjero,2023-07-01,27777081
Total Nacional,Cantabria,-,Pernoctaciones,Extranjero,2023-06-01,24183787
Total Nacional,Cantabria,-,Pernoctaciones,Extranjero,2023-05-01,22643438
Total Nacional,Cantabria,-,Pernoctaciones,Extranjero,2023-04-01,17318265
Total Nacional,Cantabria,-,Pernoctaciones,Extranjero,2023-03-01,12606419
Total Nacional,Cantabria,-,Pernoctaciones,Extranjero,2023-02-01,10387234
Total Nacional,Cantabria,-,Pernoctaciones,Extranjero,2023-01-01,9716494
Total Nacional,Andalucia,-,Viajero,General,2023-09-01,2032826
Total Nacional,Andalucia,-,Viajero,General,2023-08-01,2258709
Total Nacional,Andalucia,-,Viajero,General,2023-07-01,2124450
Total Nacional,Andalucia,-,Viajero,General,2023-06-01,1933906
Total Nacional,Andalucia,-,Viajero,General,2023-05-01,1883472
Total Nacional,Andalucia,-,Viajero,General,2023-04-01,1845565
Total Nacional,Andalucia,-,Viajero,General,2023-03-01,1420409
Total Nacional,Andalucia,-,Viajero,General,2023-02-01,1121278
Total Nacional,Andalucia,-,Viajero,General,2023-01-01,967209
Total Nacional,Andalucia,-,Viajero,Espana,2023-09-01,1044697
Total Nacional,Andalucia,-,Viajero,Espana,2023-08-01,1339933
Total Nacional,Andalucia,-,Viajero,Espana,2023-07-01,1286939
Total Nacional,Andalucia,-,Viajero,Espana,2023-06-01,1093314
Total Nacional,Andalucia,-,Viajero,Espana,2023-05-01,924970
Total Nacional,Andalucia,-,Viajero,Espana,2023-04-01,977245
Total Nacional,Andalucia,-,Viajero,Espana,2023-03-01,812507
Total Nacional,Andalucia,-,Viajero,Espana,2023-02-01,693392
Total Nacional,Andalucia,-,Viajero,Espana,2023-01-01,576934
Total Nacional,Andalucia,-,Viajero,Extranjero,2023-09-01,988129
Total Nacional,Andalucia,-,Viajero,Extranjero,2023-08-01,918776
Total Nacional,Andalucia,-,Viajero,Extranjero,2023-07-01,837511
Total Nacional,Andalucia,-,Viajero,Extranjero,2023-06-01,840591
Total Nacional,Andalucia,-,Viajero,Extranjero,2023-05-01,958502
Total Nacional,Andalucia,-,Viajero,Extranjero,2023-04-01,868321
Total Nacional,Andalucia,-,Viajero,Extranjero,2023-03-01,607902
