Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_viajeros
Total Nacional,Andalucia,Almeria,Viajero,General,2023-09-30,178491,0
Total Nacional,Andalucia,Almeria,Viajero,General,2023-08-31,250334,1
Total Nacional,Andalucia,Almeria,Viajero,General,2023-07-31,232150,2
Total Nacional,Andalucia,Almeria,Viajero,General,2023-06-30,182873,3
Total Nacional,Andalucia,Almeria,Viajero,General,2023-05-31,122909,4
Total Nacional,Andalucia,Almeria,Viajero,General,2023-04-30,101620,5
Total Nacional,Andalucia,Almeria,Viajero,General,2023-03-31,65073,6
Total Nacional,Andalucia,Almeria,Viajero,General,2023-02-28,52895,7
Total Nacional,Andalucia,Almeria,Viajero,General,2023-01-31,42306,8
Total Nacional,Andalucia,Almeria,Viajero,Espana,2023-09-30,138686,9
Total Nacional,Andalucia,Almeria,Viajero,Espana,2023-08-31,205570,10
Total Nacional,Andalucia,Almeria,Viajero,Espana,2023-07-31,189057,11
Total Nacional,Andalucia,Almeria,Viajero,Espana,2023-06-30,147837,12
Total Nacional,Andalucia,Almeria,Viajero,Espana,2023-05-31,91498,13
Total Nacional,Andalucia,Almeria,Viajero,Espana,2023-04-30,81484,14
Total Nacional,Andalucia,Almeria,Viajero,Espana,2023-03-31,48986,15
Total Nacional,Andalucia,Almeria,Viajero,Espana,2023-02-28,41385,16
Total Nacional,Andalucia,Almeria,Viajero,Espana,2023-01-31,30456,17
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2023-09-30,39804,18
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2023-08-31,44764,19
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2023-07-31,43093,20
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2023-06-30,35036,21
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2023-05-31,31411,22
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2023-04-30,20136,23
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2023-03-31,16087,24
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2023-02-28,11510,25
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2023-01-31,11850,26
Total Nacional,Andalucia,Cadiz,Viajero,General,2023-09-30,311445,27
Total Nacional,Andalucia,Cadiz,Viajero,General,2023-08-31,399049,28
Total Nacional,Andalucia,Cadiz,Viajero,General,2023-07-31,387829,29
Total Nacional,Andalucia,Cadiz,Viajero,General,2023-06-30,325608,30
Total Nacional,Andalucia,Cadiz,Viajero,General,2023-05-31,282221,31
Total Nacional,Andalucia,Cadiz,Viajero,General,2023-04-30,292272,32
Total Nacional,Andalucia,Cadiz,Viajero,General,2023-03-31,156962,33
Total Nacional,Andalucia,Cadiz,Viajero,General,2023-02-28,130390,34
Total Nacional,Andalucia,Cadiz,Viajero,General,2023-01-31,90512,35
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2023-09-30,200986,36
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2023-08-31,302520,37
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2023-07-31,296432,38
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2023-06-30,233778,39
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2023-05-31,180368,40
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2023-04-30,192565,41
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2023-03-31,103030,42
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2023-02-28,91883,43
Total Nacional,Andalucia,Cadiz,Viajero,Espana,2023-01-31,63977,44
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2023-09-30,110459,45
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2023-08-31,96529,46
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2023-07-31,91397,47
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2023-06-30,91830,48
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2023-05-31,101853,49
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2023-04-30,99707,50
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2023-03-31,53932,51
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2023-02-28,38507,52
Total Nacional,Andalucia,Cadiz,Viajero,Extranjero,2023-01-31,26536,53
Total Nacional,Andalucia,Cordoba,Viajero,General,2023-09-30,105884,54
Total Nacional,Andalucia,Cordoba,Viajero,General,2023-08-31,84538,55
Total Nacional,Andalucia,Cordoba,Viajero,General,2023-07-31,77343,56
Total Nacional,Andalucia,Cordoba,Viajero,General,2023-06-30,90784,57
Total Nacional,Andalucia,Cordoba,Viajero,General,2023-05-31,110168,58
