,provincia,media_tmed,media_prec,media_sol,media_tmin,media_tmax,año,mes,fecha_str,fecha
0,A CORUÑA,10.07,3.77,2.53,7.36,12.77,2018,enero,2018-enero,2018-01-01
1,ALBACETE,7.24,1.16,5.96,2.17,12.31,2018,enero,2018-enero,2018-01-01
2,ALICANTE,11.53,2.18,7.2,6.02,17.04,2018,enero,2018-enero,2018-01-01
3,ALMERIA,12.17,0.39,6.75,7.26,17.08,2018,enero,2018-enero,2018-01-01
4,ARABA/ALAVA,6.13,4.02,2.64,2.11,10.16,2018,enero,2018-enero,2018-01-01
5,ASTURIAS,9.14,3.31,3.18,5.84,12.44,2018,enero,2018-enero,2018-01-01
6,AVILA,5.01,1.57,4.75,0.32,9.69,2018,enero,2018-enero,2018-01-01
7,BADAJOZ,8.43,1.3,4.72,3.64,13.23,2018,enero,2018-enero,2018-01-01
8,BARCELONA,10.62,1.82,5.78,6.11,15.13,2018,enero,2018-enero,2018-01-01
9,BIZKAIA,9.83,7.45,2.18,6.68,12.97,2018,enero,2018-enero,2018-01-01
10,BURGOS,4.38,1.93,2.82,0.28,8.47,2018,enero,2018-enero,2018-01-01
11,CACERES,8.32,1.48,5.71,3.61,13.03,2018,enero,2018-enero,2018-01-01
12,CADIZ,11.25,2.38,5.77,7.38,15.12,2018,enero,2018-enero,2018-01-01
13,CANTABRIA,9.06,4.65,2.35,5.61,12.5,2018,enero,2018-enero,2018-01-01
14,CASTELLON,9.21,0.7,6.99,4.41,14.01,2018,enero,2018-enero,2018-01-01
15,CIUDAD REAL,6.55,0.95,4.53,1.38,11.73,2018,enero,2018-enero,2018-01-01
16,CORDOBA,8.0,1.69,5.1,3.36,12.63,2018,enero,2018-enero,2018-01-01
17,CUENCA,6.0,1.29,5.4,0.77,11.23,2018,enero,2018-enero,2018-01-01
18,GIPUZKOA,9.35,9.94,2.45,6.26,12.45,2018,enero,2018-enero,2018-01-01
19,GIRONA,6.26,1.66,4.39,0.56,11.97,2018,enero,2018-enero,2018-01-01
20,GRANADA,7.31,1.07,5.55,1.26,13.38,2018,enero,2018-enero,2018-01-01
21,GUADALAJARA,4.67,1.62,4.78,-0.89,10.25,2018,enero,2018-enero,2018-01-01
22,HUELVA,11.25,1.69,6.51,6.54,15.96,2018,enero,2018-enero,2018-01-01
23,HUESCA,5.65,2.22,5.23,1.14,10.16,2018,enero,2018-enero,2018-01-01
24,ILLES BALEARS,11.51,1.59,5.92,7.4,15.62,2018,enero,2018-enero,2018-01-01
25,JAEN,8.2,0.89,4.84,3.5,12.91,2018,enero,2018-enero,2018-01-01
26,LA RIOJA,7.46,3.64,4.29,3.26,11.66,2018,enero,2018-enero,2018-01-01
27,LAS PALMAS,17.98,0.69,6.7,14.88,21.06,2018,enero,2018-enero,2018-01-01
28,LEON,3.95,1.27,3.62,-0.25,8.12,2018,enero,2018-enero,2018-01-01
29,LLEIDA,5.77,2.02,4.97,0.71,10.82,2018,enero,2018-enero,2018-01-01
30,LUGO,7.09,4.55,1.8,3.42,10.78,2018,enero,2018-enero,2018-01-01
31,MADRID,5.31,1.92,5.44,1.01,9.61,2018,enero,2018-enero,2018-01-01
32,MALAGA,12.42,1.52,3.91,8.31,16.53,2018,enero,2018-enero,2018-01-01
33,MURCIA,11.44,1.34,6.43,5.86,16.97,2018,enero,2018-enero,2018-01-01
34,NAVARRA,6.78,5.6,2.36,2.83,10.72,2018,enero,2018-enero,2018-01-01
35,OURENSE,7.04,3.02,2.37,2.7,11.39,2018,enero,2018-enero,2018-01-01
36,PALENCIA,3.71,0.93,3.8,-0.63,8.05,2018,enero,2018-enero,2018-01-01
37,PONTEVEDRA,9.15,6.36,2.6,6.05,12.25,2018,enero,2018-enero,2018-01-01
38,SALAMANCA,4.52,1.53,3.99,-0.03,9.08,2018,enero,2018-enero,2018-01-01
39,SEGOVIA,2.32,2.99,2.96,-0.82,5.45,2018,enero,2018-enero,2018-01-01
40,SEVILLA,9.5,1.71,5.67,4.23,14.78,2018,enero,2018-enero,2018-01-01
