id_pernoctaciones_combined,Provincias,2018M01_Residentes en Espana,2018M01_Residentes en el Extranjero,2018M02_Residentes en Espana,2018M02_Residentes en el Extranjero,2018M03_Residentes en Espana,2018M03_Residentes en el Extranjero,2018M04_Residentes en Espana,2018M04_Residentes en el Extranjero,2018M05_Residentes en Espana,2018M05_Residentes en el Extranjero,2018M06_Residentes en Espana,2018M06_Residentes en el Extranjero,2018M07_Residentes en Espana,2018M07_Residentes en el Extranjero,2018M08_Residentes en Espana,2018M08_Residentes en el Extranjero,2018M09_Residentes en Espana,2018M09_Residentes en el Extranjero,2018M10_Residentes en Espana,2018M10_Residentes en el Extranjero,2018M11_Residentes en Espana,2018M11_Residentes en el Extranjero,2018M12_Residentes en Espana,2018M12_Residentes en el Extranjero,2019M01_Residentes en Espana,2019M01_Residentes en el Extranjero,2019M02_Residentes en Espana,2019M02_Residentes en el Extranjero,2019M03_Residentes en Espana,2019M03_Residentes en el Extranjero,2019M04_Residentes en Espana,2019M04_Residentes en el Extranjero,2019M05_Residentes en Espana,2019M05_Residentes en el Extranjero,2019M06_Residentes en Espana,2019M06_Residentes en el Extranjero,2019M07_Residentes en Espana,2019M07_Residentes en el Extranjero,2019M08_Residentes en Espana,2019M08_Residentes en el Extranjero,2019M09_Residentes en Espana,2019M09_Residentes en el Extranjero,2019M10_Residentes en Espana,2019M10_Residentes en el Extranjero,2019M11_Residentes en Espana,2019M11_Residentes en el Extranjero,2019M12_Residentes en Espana,2019M12_Residentes en el Extranjero,2020M01_Residentes en Espana,2020M01_Residentes en el Extranjero,2020M02_Residentes en Espana,2020M02_Residentes en el Extranjero,2020M03_Residentes en Espana,2020M03_Residentes en el Extranjero,2020M04_Residentes en Espana,2020M04_Residentes en el Extranjero,2020M05_Residentes en Espana,2020M05_Residentes en el Extranjero,2020M06_Residentes en Espana,2020M06_Residentes en el Extranjero,2020M07_Residentes en Espana,2020M07_Residentes en el Extranjero,2020M08_Residentes en Espana,2020M08_Residentes en el Extranjero,2020M09_Residentes en Espana,2020M09_Residentes en el Extranjero,2020M10_Residentes en Espana,2020M10_Residentes en el Extranjero,2020M11_Residentes en Espana,2020M11_Residentes en el Extranjero,2020M12_Residentes en Espana,2020M12_Residentes en el Extranjero,2021M01_Residentes en Espana,2021M01_Residentes en el Extranjero,2021M02_Residentes en Espana,2021M02_Residentes en el Extranjero,2021M03_Residentes en Espana,2021M03_Residentes en el Extranjero,2021M04_Residentes en Espana,2021M04_Residentes en el Extranjero,2021M05_Residentes en Espana,2021M05_Residentes en el Extranjero,2021M06_Residentes en Espana,2021M06_Residentes en el Extranjero,2021M07_Residentes en Espana,2021M07_Residentes en el Extranjero,2021M08_Residentes en Espana,2021M08_Residentes en el Extranjero,2021M09_Residentes en Espana,2021M09_Residentes en el Extranjero,2021M10_Residentes en Espana,2021M10_Residentes en el Extranjero,2021M11_Residentes en Espana,2021M11_Residentes en el Extranjero,2021M12_Residentes en Espana,2021M12_Residentes en el Extranjero,2022M01_Residentes en Espana,2022M01_Residentes en el Extranjero,2022M02_Residentes en Espana,2022M02_Residentes en el Extranjero,2022M03_Residentes en Espana,2022M03_Residentes en el Extranjero,2022M04_Residentes en Espana,2022M04_Residentes en el Extranjero,2022M05_Residentes en Espana,2022M05_Residentes en el Extranjero,2022M06_Residentes en Espana,2022M06_Residentes en el Extranjero,2022M07_Residentes en Espana,2022M07_Residentes en el Extranjero,2022M08_Residentes en Espana,2022M08_Residentes en el Extranjero,2022M09_Residentes en Espana,2022M09_Residentes en el Extranjero,2022M10_Residentes en Espana,2022M10_Residentes en el Extranjero,2022M11_Residentes en Espana,2022M11_Residentes en el Extranjero,2022M12_Residentes en Espana,2022M12_Residentes en el Extranjero
1,A CORUÑA,101.197,29.889,117.828,32.514,159.821,45.396,168.387,86.374,170.188,141.556,197.600,132.645,331.941,121.399,409.023,144.713,232.065,144.598,198.879,115.452,159.435,65.839,145.967,31.601,111.602,29.721,125.958,28.865,145.861,51.573,190.217,100.613,205.266,147.322,213.115,142.808,341.356,123.413,438.877,133.955,241.831,165.066,208.173,140.896,161.816,52.586,148.719,36.632,129.023,36.880,145.266,41.169,57.765,15.579,0,0,5.158,613,32.393,3.420,196.948,24.363,282.290,33.433,127.287,19.476,99.197,16.836,50.983,11.497,52.413,6.815,45.653,5.595,40.665,4.888,70.103,9.096,75.244,9.881,99.685,18.374,176.101,32.456,360.406,58.287,510.744,71.344,309.445,84.700,244.700,83.545,167.841,37.108,145.928,24.545,51.283,10.804,72.223,13.320,82.649,24.794,119.875,57.536,119.893,97.410,132.289,94.573,194.874,82.142,232.843,80.681,150.900,105.761,131.666,94.199,94.029,28.034,79.982,18.050
2,ALBACETE,22.166,3.710,28.928,4.769,49.833,5.048,58.963,5.295,58.268,4.951,57.401,4.598,57.120,4.833,70.509,5.542,68.118,7.220,69.941,5.855,53.065,4.364,38.542,3.433,25.173,4.726,34.947,7.661,47.206,5.361,65.563,5.370,64.229,6.176,60.869,6.050,61.289,6.711,74.836,5.883,69.709,5.965,70.309,7.568,58.627,6.605,39.361,5.107,27.027,4.582,40.063,6.776,20.060,2.801,0,0,1.936,1.375,14.316,2.219,33.280,4.065,41.770,2.489,31.114,2.987,30.520,3.821,18.836,1.732,17.776,1.572,12.966,1.154,14.880,1.706,25.794,2.020,24.893,1.733,32.052,3.367,39.474,3.996,51.409,3.963,62.099,4.351,52.795,6.751,59.756,5.037,41.283,7.186,36.111,4.596,15.963,1.525,20.754,2.755,25.686,2.440,33.808,3.040,31.837,3.871,31.137,3.350,29.234,3.624,33.219,4.218,34.265,3.715,32.825,3.847,26.850,3.848,23.932,2.356
3,ALICANTE,412.427,490.321,429.796,498.378,640.818,693.579,681.438,823.538,571.945,1.012.433,741.725,987.699,1.036.052,1.029.974,1.239.986,1.012.504,710.347,1.102.716,613.612,1.029.503,530.713,673.322,521.622,495.975,453.794,493.787,492.232,509.649,610.264,684.032,732.499,752.513,654.280,875.343,800.624,909.269,1.129.552,954.160,1.369.903,942.962,752.460,993.642,608.313,964.604,547.429,644.217,472.268,474.235,371.177,456.160,481.001,513.498,189.473,339.418,0,0,4.010,655,48.884,6.817,408.917,132.923,729.183,174.664,315.741,74.186,223.065,63.712,81.520,27.261,97.728,30.861,49.969,26.158,41.984,12.737,94.067,20.269,132.489,28.764,254.183,75.113,631.774,141.724,1.105.137,287.062,1.372.977,476.311,737.832,461.986,596.214,573.456,286.156,385.674,282.392,231.830,75.778,49.765,133.494,78.422,135.526,124.360,221.231,168.677,209.441,196.679,253.485,195.961,319.351,217.146,341.418,219.568,209.071,210.661,186.149,187.378,169.490,123.020,163.532,97.349
4,ALMERIA,69.310,38.414,118.696,58.364,266.817,70.098,296.926,84.429,265.718,177.521,413.874,256.929,698.663,268.014,785.951,287.817,467.722,271.167,200.189,187.269,111.217,49.367,94.660,31.297,67.570,40.170,121.621,52.701,235.594,65.815,301.825,84.417,255.142,166.683,435.172,237.557,719.425,244.234,823.539,268.603,456.806,250.420,147.884,150.382,100.161,51.899,95.752,32.133,67.652,39.486,132.758,59.716,80.800,31.679,0,0,2.408,130,49.630,4.843,290.200,24.448,411.380,37.708,203.000,22.945,68.053,13.357,24.161,5.962,20.158,4.931,19.000,5.279,19.030,3.588,24.548,5.955,27.545,7.952,65.848,12.761,285.791,30.709,652.300,64.224,809.239,79.683,447.066,106.953,163.849,88.637,57.200,36.877,60.588,25.099,22.290,9.007,39.146,10.284,42.511,13.274,70.416,19.025,90.422,28.431,153.172,32.084,189.343,39.566,206.936,41.392,142.904,34.974,71.229,26.150,38.622,12.693,33.013,10.226
5,ARABA/ALAVA,32.173,9.788,32.185,7.004,45.874,11.395,45.407,16.722,45.483,25.255,45.960,23.516,51.004,30.682,69.347,33.147,52.959,24.929,52.131,22.238,46.069,12.907,45.816,9.670,31.694,10.753,32.452,9.950,43.274,13.848,47.048,18.845,44.736,25.302,46.405,23.560,50.727,30.033,67.404,29.820,49.423,25.517,48.587,20.326,45.532,12.265,45.376,9.283,33.699,9.803,37.775,9.296,17.097,5.647,0,0,3.708,906,13.825,2.515,30.502,8.849,41.086,10.111,29.721,5.616,28.207,6.407,14.890,3.491,13.809,3.606,13.164,4.097,13.510,3.112,23.829,3.828,24.402,4.398,27.823,4.632,38.602,8.047,52.436,16.957,80.368,17.830,51.177,18.492,56.836,16.468,43.306,13.178,42.688,8.886,14.076,4.006,18.289,4.280,23.209,6.003,26.586,8.969,25.469,11.329,24.420,13.411,28.057,20.638,31.811,20.632,26.529,14.493,28.037,10.666,24.043,6.280,24.316,5.299
6,ASTURIAS,92.497,13.626,112.605,14.938,205.374,21.773,211.678,34.113,223.992,65.222,280.361,65.590,404.975,82.902,594.065,94.119,348.635,83.011,243.766,44.893,161.733,19.206,144.516,21.331,89.229,15.475,111.906,14.621,160.005,21.084,256.501,42.884,239.380,66.470,287.358,79.305,445.665,89.454,621.185,95.667,363.899,88.291,249.256,50.971,158.221,28.459,149.524,20.572,108.524,19.213,133.078,20.873,54.977,8.207,0,0,9.392,476,47.852,2.667,383.448,23.190,568.395,26.987,255.748,14.612,112.935,8.532,23.586,2.262,26.096,2.431,29.939,2.193,29.946,2.006,40.721,4.276,43.230,5.140,96.787,9.727,204.760,22.173,475.366,47.418,670.028,51.365,367.352,52.786,280.926,42.573,143.012,24.459,140.372,15.486,50.991,4.456,65.177,5.964,75.718,8.725,118.092,20.394,110.048,33.637,138.932,38.820,200.203,41.964,226.348,48.464,156.490,44.737,132.523,28.491,84.090,10.322,77.550,8.345
7,AVILA,26.045,3.374,29.796,2.550,42.056,4.439,40.011,6.894,38.587,8.696,45.372,7.809,51.301,7.834,69.209,6.955,57.846,8.893,61.674,8.299,39.157,4.287,41.038,3.334,25.195,3.421,31.234,2.623,43.894,5.303,48.645,8.493,43.527,10.840,46.025,8.649,48.902,10.192,69.933,8.082,54.098,11.819,57.316,8.488,41.482,4.115,40.147,3.719,29.200,3.202,39.720,4.060,13.595,2.215,0,0,.,0,.,.,35.623,1.845,51.313,2.413,25.944,1.224,18.628,1.175,8.866,652,6.386,1.233,4.720,233,7.153,383,10.420,664,10.284,761,19.564,1.632,32.832,3.253,48.294,4.687,72.341,4.642,43.648,5.199,45.771,6.051,30.078,4.178,32.374,3.975,14.149,1.219,17.457,1.824,18.555,1.925,27.767,3.566,28.581,4.333,25.157,4.412,28.580,3.802,38.894,4.301,30.647,5.149,29.933,5.000,22.857,2.303,21.731,2.257
8,BADAJOZ,43.383,8.750,58.446,9.744,89.048,13.713,95.733,20.560,92.978,24.072,92.999,18.931,100.236,19.569,112.286,25.856,99.984,19.631,106.676,19.057,85.049,13.562,65.772,10.624,50.962,10.196,62.653,13.116,89.166,17.938,101.931,19.790,98.122,25.112,87.750,20.899,95.607,21.776,113.963,24.180,104.360,22.233,101.642,24.975,78.422,18.201,66.207,13.964,51.310,14.710,67.165,11.700,33.172,6.888,0,0,7.304,1.658,23.680,2.018,53.516,5.325,70.518,8.221,51.816,4.553,47.650,5.224,32.766,2.681,31.044,3.989,17.687,2.204,21.893,1.625,32.449,2.385,31.878,2.440,53.519,5.486,63.875,8.717,84.904,9.933,106.356,16.303,99.909,10.568,101.361,13.230,77.804,9.464,66.374,5.443,26.897,3.534,41.121,5.203,43.846,6.404,59.035,10.053,53.779,8.775,54.271,11.197,62.813,14.142,71.387,16.665,60.489,11.103,56.354,9.535,44.154,6.270,38.340,5.775
9,BARCELONA,396.027,1.218.142,392.529,1.339.739,508.266,1.678.492,570.182,1.991.942,558.243,2.580.259,561.250,2.724.673,630.143,3.101.694,619.153,3.265.081,489.842,2.795.775,512.862,2.374.113,430.984,1.548.608,449.825,1.351.269,383.272,1.369.045,408.076,1.468.013,532.879,1.785.418,558.410,2.241.696,550.640,2.593.807,547.755,2.932.121,614.897,3.276.207,612.036,3.435.688,476.973,2.859.125,504.947,2.460.452,438.155,1.586.520,428.605,1.388.215,371.958,1.429.126,410.832,1.358.952,204.754,525.333,0,0,10.758,5.937,72.914,32.731,229.362,282.234,345.784,294.312,238.191,156.603,182.900,121.685,137.785,59.002,170.139,83.312,174.695,77.219,188.427,81.253,231.548,112.446,246.519,158.244,322.225,295.773,441.866,495.835,548.455,1.036.055,645.294,1.640.452,473.376,1.173.995,535.372,1.321.256,409.903,1.024.264,454.372,817.169,183.731,235.175,220.732,360.443,258.640,479.869,297.090,657.737,292.049,788.946,303.980,836.187,335.624,926.342,283.775,950.248,296.716,845.137,316.090,837.958,267.015,555.341,264.577,478.479
10,BIZKAIA,102.539,49.812,103.097,54.843,136.874,72.737,138.368,94.513,136.107,123.043,141.533,116.557,166.052,137.788,203.949,154.666,148.405,135.932,153.320,119.221,142.681,72.533,138.675,51.551,109.768,48.415,116.243,51.683,139.977,73.597,140.451,114.592,130.875,128.253,147.291,120.743,167.486,146.732,213.142,160.881,135.218,149.432,152.287,128.782,144.269,71.042,142.826,58.400,108.565,54.964,123.426,70.024,54.328,34.080,0,0,3.892,190,29.239,4.531,105.382,32.282,133.228,42.675,88.242,17.799,77.681,18.896,38.756,9.687,42.420,7.575,37.573,7.817,40.003,6.710,58.517,9.616,66.467,11.964,73.052,14.487,94.384,27.704,155.048,63.624,250.879,88.507,144.362,79.066,159.040,82.027,121.259,59.008,113.498,39.791,43.582,14.084,60.525,18.391,67.728,28.981,78.300,52.795,76.646,61.952,79.859,62.479,97.637,87.345,101.780,87.215,81.732,74.437,83.235,59.291,73.183,33.199,75.258,27.780
