id_viajeros_combined,Provincias,2018M01_Residentes en Espana,2018M01_Residentes en el Extranjero,2018M02_Residentes en Espana,2018M02_Residentes en el Extranjero,2018M03_Residentes en Espana,2018M03_Residentes en el Extranjero,2018M04_Residentes en Espana,2018M04_Residentes en el Extranjero,2018M05_Residentes en Espana,2018M05_Residentes en el Extranjero,2018M06_Residentes en Espana,2018M06_Residentes en el Extranjero,2018M07_Residentes en Espana,2018M07_Residentes en el Extranjero,2018M08_Residentes en Espana,2018M08_Residentes en el Extranjero,2018M09_Residentes en Espana,2018M09_Residentes en el Extranjero,2018M10_Residentes en Espana,2018M10_Residentes en el Extranjero,2018M11_Residentes en Espana,2018M11_Residentes en el Extranjero,2018M12_Residentes en Espana,2018M12_Residentes en el Extranjero,2019M01_Residentes en Espana,2019M01_Residentes en el Extranjero,2019M02_Residentes en Espana,2019M02_Residentes en el Extranjero,2019M03_Residentes en Espana,2019M03_Residentes en el Extranjero,2019M04_Residentes en Espana,2019M04_Residentes en el Extranjero,2019M05_Residentes en Espana,2019M05_Residentes en el Extranjero,2019M06_Residentes en Espana,2019M06_Residentes en el Extranjero,2019M07_Residentes en Espana,2019M07_Residentes en el Extranjero,2019M08_Residentes en Espana,2019M08_Residentes en el Extranjero,2019M09_Residentes en Espana,2019M09_Residentes en el Extranjero,2019M10_Residentes en Espana,2019M10_Residentes en el Extranjero,2019M11_Residentes en Espana,2019M11_Residentes en el Extranjero,2019M12_Residentes en Espana,2019M12_Residentes en el Extranjero,2020M01_Residentes en Espana,2020M01_Residentes en el Extranjero,2020M02_Residentes en Espana,2020M02_Residentes en el Extranjero,2020M03_Residentes en Espana,2020M03_Residentes en el Extranjero,2020M04_Residentes en Espana,2020M04_Residentes en el Extranjero,2020M05_Residentes en Espana,2020M05_Residentes en el Extranjero,2020M06_Residentes en Espana,2020M06_Residentes en el Extranjero,2020M07_Residentes en Espana,2020M07_Residentes en el Extranjero,2020M08_Residentes en Espana,2020M08_Residentes en el Extranjero,2020M09_Residentes en Espana,2020M09_Residentes en el Extranjero,2020M10_Residentes en Espana,2020M10_Residentes en el Extranjero,2020M11_Residentes en Espana,2020M11_Residentes en el Extranjero,2020M12_Residentes en Espana,2020M12_Residentes en el Extranjero,2021M01_Residentes en Espana,2021M01_Residentes en el Extranjero,2021M02_Residentes en Espana,2021M02_Residentes en el Extranjero,2021M03_Residentes en Espana,2021M03_Residentes en el Extranjero,2021M04_Residentes en Espana,2021M04_Residentes en el Extranjero,2021M05_Residentes en Espana,2021M05_Residentes en el Extranjero,2021M06_Residentes en Espana,2021M06_Residentes en el Extranjero,2021M07_Residentes en Espana,2021M07_Residentes en el Extranjero,2021M08_Residentes en Espana,2021M08_Residentes en el Extranjero,2021M09_Residentes en Espana,2021M09_Residentes en el Extranjero,2021M10_Residentes en Espana,2021M10_Residentes en el Extranjero,2021M11_Residentes en Espana,2021M11_Residentes en el Extranjero,2021M12_Residentes en Espana,2021M12_Residentes en el Extranjero,2022M01_Residentes en Espana,2022M01_Residentes en el Extranjero,2022M02_Residentes en Espana,2022M02_Residentes en el Extranjero,2022M03_Residentes en Espana,2022M03_Residentes en el Extranjero,2022M04_Residentes en Espana,2022M04_Residentes en el Extranjero,2022M05_Residentes en Espana,2022M05_Residentes en el Extranjero,2022M06_Residentes en Espana,2022M06_Residentes en el Extranjero,2022M07_Residentes en Espana,2022M07_Residentes en el Extranjero,2022M08_Residentes en Espana,2022M08_Residentes en el Extranjero,2022M09_Residentes en Espana,2022M09_Residentes en el Extranjero,2022M10_Residentes en Espana,2022M10_Residentes en el Extranjero,2022M11_Residentes en Espana,2022M11_Residentes en el Extranjero,2022M12_Residentes en Espana,2022M12_Residentes en el Extranjero
1,A CORUÑA,57.188,14.014,65.662,16.209,89.761,26.044,94.942,47.970,96.543,88.112,116.477,81.602,153.479,67.530,187.362,83.274,122.425,87.336,106.921,70.710,80.528,26.098,79.191,16.504,61.720,14.508,69.370,14.507,79.408,25.439,101.211,59.056,110.184,91.799,115.170,85.363,156.522,66.236,195.776,75.809,127.009,96.970,107.150,80.071,81.633,26.033,79.816,16.713,66.694,16.962,74.172,19.758,27.983,6.964,0,0,1.989,135,18.973,1.485,93.285,11.394,137.008,17.248,71.300,9.193,49.290,7.301,19.494,2.921,19.753,2.012,16.597,1.697,16.188,1.380,31.340,2.879,38.958,2.890,51.953,7.570,94.042,17.566,181.981,31.093,238.614,38.091,155.066,50.405,131.919,52.210,87.886,20.755,72.860,12.458,51.283,10.804,72.223,13.320,82.649,24.794,119.875,57.536,119.893,97.410,132.289,94.573,194.874,82.142,232.843,80.681,150.900,105.761,131.666,94.199,94.029,28.034,79.982,18.050
2,ALBACETE,15.535,2.067,19.237,2.228,27.776,2.718,29.958,2.970,28.575,2.987,30.606,2.766,27.217,2.769,30.549,2.840,33.666,3.723,33.497,3.355,25.693,2.211,23.600,1.768,16.724,1.991,22.772,2.603,27.553,2.559,33.564,3.179,33.568,3.749,32.878,3.372,29.658,3.599,31.803,3.343,33.032,3.447,33.349,3.797,28.724,2.654,24.060,2.271,18.351,2.002,25.939,2.585,11.927,892,0,0,963,265,8.056,661,19.052,1.561,20.899,1.325,18.842,1.471,18.184,1.713,10.886,713,10.858,833,7.883,624,9.074,791,15.592,983,15.841,949,21.033,1.689,25.515,1.781,28.908,1.904,32.897,2.407,29.538,2.961,32.249,2.984,23.843,2.735,21.998,1.812,15.963,1.525,20.754,2.755,25.686,2.440,33.808,3.040,31.837,3.871,31.137,3.350,29.234,3.624,33.219,4.218,34.265,3.715,32.825,3.847,26.850,3.848,23.932,2.356
3,ALICANTE,121.926,99.916,146.024,104.706,197.035,151.379,207.360,184.480,175.980,216.679,227.981,203.655,288.277,209.909,317.183,204.241,199.793,228.751,174.884,205.717,165.236,136.527,165.309,106.513,138.245,100.324,163.790,113.873,188.843,146.402,208.067,176.826,198.944,203.063,255.803,197.779,317.906,208.572,366.796,205.907,211.311,217.481,189.099,193.405,181.122,137.583,158.795,102.588,119.686,97.449,179.749,115.921,66.270,70.694,0,0,2.021,378,28.692,3.750,172.389,44.885,263.321,55.719,127.606,26.354,100.070,24.438,44.674,11.186,53.698,12.153,26.735,8.012,22.719,4.684,53.051,9.187,74.600,12.563,133.769,28.038,238.968,49.979,348.139,85.451,393.893,127.562,228.753,116.046,200.707,140.659,123.399,92.713,128.079,61.512,75.778,49.765,133.494,78.422,135.526,124.360,221.231,168.677,209.441,196.679,253.485,195.961,319.351,217.146,341.418,219.568,209.071,210.661,186.149,187.378,169.490,123.020,163.532,97.349
4,ALMERIA,27.864,10.077,46.952,12.173,71.626,17.147,81.800,23.033,85.566,39.624,139.785,44.055,172.091,49.047,205.644,57.449,139.448,47.759,78.403,34.288,47.744,12.389,40.198,8.725,28.943,9.840,47.938,11.589,65.238,15.701,83.625,22.913,90.987,37.121,152.103,43.429,183.540,50.716,212.170,51.605,131.278,44.213,66.503,30.542,46.491,14.050,42.212,10.164,30.896,11.505,57.051,14.311,24.332,7.936,0,0,1.197,77,25.184,2.973,92.571,8.907,120.895,10.512,67.997,8.239,32.091,6.170,13.172,2.678,11.269,2.219,10.078,2.627,10.712,1.767,14.623,2.777,16.155,3.440,37.240,5.832,107.549,10.941,172.883,16.631,209.996,20.009,133.713,26.258,67.943,21.944,32.281,10.937,30.542,9.503,22.290,9.007,39.146,10.284,42.511,13.274,70.416,19.025,90.422,28.431,153.172,32.084,189.343,39.566,206.936,41.392,142.904,34.974,71.229,26.150,38.622,12.693,33.013,10.226
5,ARABA/ALAVA,17.992,5.147,17.968,3.800,25.487,5.871,24.296,9.504,26.219,14.128,25.765,12.275,25.447,18.632,29.915,21.103,26.667,13.686,27.331,11.095,24.242,5.670,23.938,4.388,16.773,4.936,18.494,4.091,24.469,6.301,25.217,9.287,24.213,11.883,25.669,11.800,25.364,17.327,30.495,19.250,26.055,13.861,26.593,10.085,24.533,6.081,24.722,4.623,18.569,5.416,20.938,4.646,8.491,2.797,0,0,826,256,6.594,1.043,16.245,5.498,20.302,6.705,15.353,2.615,15.012,3.005,6.116,1.449,6.626,1.647,6.823,2.155,6.304,1.226,12.678,1.986,12.639,2.098,15.377,2.643,20.582,4.264,28.214,10.619,38.753,12.265,26.044,10.044,29.148,9.204,22.056,6.302,21.270,4.488,14.076,4.006,18.289,4.280,23.209,6.003,26.586,8.969,25.469,11.329,24.420,13.411,28.057,20.638,31.811,20.632,26.529,14.493,28.037,10.666,24.043,6.280,24.316,5.299
6,ASTURIAS,52.984,6.395,66.605,6.939,105.560,11.611,113.168,20.558,116.309,36.277,141.977,37.141,176.641,43.970,233.310,47.865,165.911,46.010,122.283,25.533,87.564,10.631,77.695,9.992,49.932,6.853,64.514,6.649,90.928,10.388,126.500,23.355,117.035,37.835,138.889,43.646,187.345,46.292,238.099,48.908,165.862,47.607,121.341,25.737,82.364,12.489,78.908,10.159,61.541,6.817,76.363,7.954,29.585,3.282,0,0,3.518,138,26.906,1.226,166.445,10.895,222.433,12.523,119.811,6.828,59.029,4.248,11.044,879,13.607,981,14.461,949,14.241,752,20.525,1.531,22.616,1.423,53.731,3.754,104.946,10.550,202.996,23.260,255.261,24.660,168.682,27.110,138.046,22.129,76.339,9.853,71.660,6.711,50.991,4.456,65.177,5.964,75.718,8.725,118.092,20.394,110.048,33.637,138.932,38.820,200.203,41.964,226.348,48.464,156.490,44.737,132.523,28.491,84.090,10.322,77.550,8.345
7,AVILA,17.194,2.284,20.167,1.572,26.247,3.008,25.372,4.437,25.783,5.647,29.239,4.984,31.184,4.347,41.506,4.343,40.296,5.487,43.810,6.159,25.208,2.780,25.480,2.111,15.796,2.067,21.049,1.390,28.263,3.252,28.598,4.601,27.815,7.310,30.373,5.403,29.723,5.181,40.391,5.152,39.418,6.793,41.236,5.832,24.781,2.785,24.812,2.384,18.952,2.035,26.499,2.347,8.368,1.051,0,0,.,0,.,.,19.257,787,27.404,1.246,15.670,700,12.296,727,5.369,281,4.300,502,2.822,139,4.096,189,6.107,284,6.581,223,12.457,735,20.421,1.250,27.190,1.618,42.517,2.427,27.677,2.970,29.246,3.279,19.144,1.902,19.749,1.802,14.149,1.219,17.457,1.824,18.555,1.925,27.767,3.566,28.581,4.333,25.157,4.412,28.580,3.802,38.894,4.301,30.647,5.149,29.933,5.000,22.857,2.303,21.731,2.257
8,BADAJOZ,27.775,6.205,35.778,7.550,48.088,10.049,50.502,14.520,52.196,16.847,52.809,13.350,61.262,14.444,69.687,17.904,55.209,13.574,57.559,13.591,48.034,9.503,39.521,8.057,31.790,7.919,37.878,8.819,49.850,12.518,55.554,15.031,54.919,17.868,48.781,14.255,57.527,16.432,69.180,18.644,56.567,15.636,53.610,17.316,42.641,13.634,38.074,9.569,32.208,10.322,40.894,7.784,18.062,4.090,0,0,4.422,443,13.648,982,32.047,2.898,43.256,4.985,32.034,2.891,27.799,2.985,17.770,1.448,17.650,2.081,10.650,1.179,12.525,757,18.992,1.305,19.319,1.391,34.878,3.432,41.639,5.612,54.103,6.653,64.227,9.883,55.209,7.201,54.585,9.120,46.185,6.143,37.215,3.481,26.897,3.534,41.121,5.203,43.846,6.404,59.035,10.053,53.779,8.775,54.271,11.197,62.813,14.142,71.387,16.665,60.489,11.103,56.354,9.535,44.154,6.270,38.340,5.775
9,BARCELONA,227.550,471.780,237.784,517.605,271.688,650.642,279.387,754.207,281.616,902.743,305.445,922.193,304.812,971.593,258.625,974.489,267.880,897.249,279.446,854.395,251.166,617.326,252.354,527.551,223.604,523.192,246.639,567.700,274.545,687.059,268.024,841.938,292.465,937.917,296.029,978.776,297.667,1.030.428,254.028,1.030.887,245.882,922.834,273.040,910.533,246.900,657.009,242.449,561.939,220.231,558.358,244.403,550.665,107.587,200.684,0,0,3.512,2.728,38.071,14.106,112.921,103.074,156.639,109.944,126.463,65.553,97.484,52.837,73.902,26.517,102.504,39.058,86.559,32.395,105.398,33.594,128.268,45.321,121.877,61.215,170.728,118.233,223.044,193.353,256.228,338.373,254.957,494.193,227.239,397.293,261.136,472.869,214.384,376.574,233.136,305.119,183.731,235.175,220.732,360.443,258.640,479.869,297.090,657.737,292.049,788.946,303.980,836.187,335.624,926.342,283.775,950.248,296.716,845.137,316.090,837.958,267.015,555.341,264.577,478.479
10,BIZKAIA,58.596,23.397,61.115,26.727,79.889,35.660,76.648,48.563,75.276,66.135,79.233,60.320,83.337,72.840,92.203,82.335,77.843,69.009,80.478,59.532,78.410,34.801,79.079,26.505,60.595,23.868,64.902,26.105,81.938,38.407,77.865,58.998,72.656,67.915,77.715,63.566,86.026,77.563,93.989,85.071,73.157,80.402,84.249,65.279,81.685,36.213,81.850,31.163,61.740,27.362,71.867,37.907,28.754,15.552,0,0,1.666,67,15.924,1.732,56.178,18.585,63.977,23.631,45.849,10.295,40.192,10.125,18.261,3.147,24.106,4.033,22.762,3.798,23.121,3.226,36.746,5.064,37.627,5.069,41.145,8.394,53.137,15.043,78.618,33.758,109.113,47.135,76.472,40.970,86.673,41.376,70.764,30.204,62.072,20.582,43.582,14.084,60.525,18.391,67.728,28.981,78.300,52.795,76.646,61.952,79.859,62.479,97.637,87.345,101.780,87.215,81.732,74.437,83.235,59.291,73.183,33.199,75.258,27.780
