Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_pernoctaciones,Población,Latitud,Longitud,ID_latitud_longitud
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2023-09-01 00:00:00,669529,0,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2023-08-01 00:00:00,1034079,1,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2023-07-01 00:00:00,919171,2,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2023-06-01 00:00:00,617977,3,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2023-05-01 00:00:00,413236,4,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2023-04-01 00:00:00,288099,5,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2023-03-01 00:00:00,186809,6,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2023-02-01 00:00:00,140628,7,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2023-01-01 00:00:00,98037,8,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2023-09-01 00:00:00,474975,9,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2023-08-01 00:00:00,821399,10,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2023-07-01 00:00:00,726646,11,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2023-06-01 00:00:00,448495,12,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2023-05-01 00:00:00,278257,13,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2023-04-01 00:00:00,220064,14,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2023-03-01 00:00:00,129050,15,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2023-02-01 00:00:00,99001,16,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2023-01-01 00:00:00,63119,17,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2023-09-01 00:00:00,194554,18,190013,36.83892362,-2.46413188,3
