Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_viajeros,Población,Latitud,Longitud,ID_latitud_longitud
Total Nacional,Andalucia,Almeria,Viajero,General,2023-09-01 00:00:00,178491,0,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2023-08-01 00:00:00,250334,1,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2023-07-01 00:00:00,232150,2,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2023-06-01 00:00:00,182873,3,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2023-05-01 00:00:00,122909,4,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2023-04-01 00:00:00,101620,5,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2023-03-01 00:00:00,65073,6,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2023-02-01 00:00:00,52895,7,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2023-01-01 00:00:00,42306,8,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2023-09-01 00:00:00,138686,9,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2023-08-01 00:00:00,205570,10,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2023-07-01 00:00:00,189057,11,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2023-06-01 00:00:00,147837,12,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2023-05-01 00:00:00,91498,13,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2023-04-01 00:00:00,81484,14,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2023-03-01 00:00:00,48986,15,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2023-02-01 00:00:00,41385,16,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2023-01-01 00:00:00,30456,17,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2023-09-01 00:00:00,39804,18,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2023-08-01 00:00:00,44764,19,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2023-07-01 00:00:00,43093,20,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2023-06-01 00:00:00,35036,21,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2023-05-01 00:00:00,31411,22,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2023-04-01 00:00:00,20136,23,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2023-03-01 00:00:00,16087,24,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2023-02-01 00:00:00,11510,25,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2023-01-01 00:00:00,11850,26,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2022-12-01 00:00:00,43239,1350,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2022-11-01 00:00:00,51315,1351,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2022-10-01 00:00:00,97379,1352,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2022-09-01 00:00:00,177878,1353,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2022-08-01 00:00:00,248328,1354,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2022-07-01 00:00:00,228909,1355,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2022-06-01 00:00:00,185257,1356,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2022-05-01 00:00:00,118852,1357,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2022-04-01 00:00:00,89441,1358,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2022-03-01 00:00:00,55785,1359,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2022-02-01 00:00:00,49429,1360,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2022-01-01 00:00:00,31298,1361,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2022-12-01 00:00:00,33013,1362,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2022-11-01 00:00:00,38622,1363,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2022-10-01 00:00:00,71229,1364,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2022-09-01 00:00:00,142904,1365,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2022-08-01 00:00:00,206936,1366,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2022-07-01 00:00:00,189343,1367,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2022-06-01 00:00:00,153172,1368,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2022-05-01 00:00:00,90422,1369,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2022-04-01 00:00:00,70416,1370,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2022-03-01 00:00:00,42511,1371,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2022-02-01 00:00:00,39146,1372,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2022-01-01 00:00:00,22290,1373,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2022-12-01 00:00:00,10226,1374,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2022-11-01 00:00:00,12693,1375,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2022-10-01 00:00:00,26150,1376,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2022-09-01 00:00:00,34974,1377,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2022-08-01 00:00:00,41392,1378,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2022-07-01 00:00:00,39566,1379,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2022-06-01 00:00:00,32084,1380,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2022-05-01 00:00:00,28431,1381,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2022-04-01 00:00:00,19025,1382,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2022-03-01 00:00:00,13274,1383,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2022-02-01 00:00:00,10284,1384,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2022-01-01 00:00:00,9007,1385,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2021-12-01 00:00:00,40045,3150,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2021-11-01 00:00:00,43218,3151,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2021-10-01 00:00:00,89887,3152,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2021-09-01 00:00:00,159971,3153,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2021-08-01 00:00:00,230005,3154,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2021-07-01 00:00:00,189514,3155,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2021-06-01 00:00:00,118490,3156,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2021-05-01 00:00:00,43071,3157,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2021-04-01 00:00:00,19595,3158,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2021-03-01 00:00:00,17400,3159,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2021-02-01 00:00:00,12479,3160,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2021-01-01 00:00:00,12705,3161,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2021-12-01 00:00:00,30542,3162,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Espana,2021-11-01 00:00:00,32281,3163,190013,36.83892362,-2.46413188,3
